  QueueTimes | ServiceTimes | SojournTimes
       0.930 |        0.332 |        1.262
       0.157 |        1.802 |        1.959
       0.552 |        0.824 |        1.376
       0.151 |        2.722 |        2.873
       1.515 |        1.283 |        2.798
       1.778 |        2.016 |        3.794
       0.179 |        0.767 |        0.946
       0.621 |        2.016 |        2.637
       2.250 |        0.428 |        2.677
       0.186 |        0.699 |        0.885
       0.177 |        0.563 |        0.741
       0.180 |        0.528 |        0.707
       0.159 |        0.362 |        0.520
       0.182 |        1.307 |        1.489
       0.183 |        0.832 |        1.015
       0.515 |        0.319 |        0.835
       0.160 |        1.508 |        1.668
       1.061 |        1.600 |        2.661
       0.185 |        0.757 |        0.942
       0.165 |        1.477 |        1.642
       0.877 |        1.342 |        2.219
       0.172 |        0.605 |        0.777
       0.127 |        0.976 |        1.104
       0.515 |        0.429 |        0.944
       0.180 |        2.066 |        2.246
       2.191 |        1.803 |        3.994
       2.085 |        0.332 |        2.417
       0.160 |        0.859 |        1.019
       0.172 |        0.578 |        0.750
       0.176 |        1.042 |        1.218
       0.165 |        2.257 |        2.422
       0.970 |        0.798 |        1.768
       0.124 |        0.464 |        0.588
       0.178 |        1.121 |        1.299
       1.165 |        0.936 |        2.101
       0.218 |        0.738 |        0.956
       0.178 |        1.192 |        1.370
       0.180 |        0.624 |        0.804
       0.125 |        0.409 |        0.534
       0.189 |        0.549 |        0.738
       0.184 |        0.578 |        0.763
       0.174 |        0.583 |        0.757
       0.176 |        0.543 |        0.719
       0.180 |        0.909 |        1.089
       0.306 |        0.521 |        0.828
       0.179 |        2.333 |        2.512
